Price,Close,High,Low,Open,Volume
Ticker,BOVA11.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA
Date,,,,,
2020-03-10,88.62999725341797,88.80999755859375,83.93000030517578,86.62000274658203,21591440
2020-03-11,82.05999755859375,87.0999984741211,77.4000015258789,85.98999786376953,18988140
2020-03-12,70.0999984741211,72.63999938964844,66.30000305175781,70.58999633789062,22828730
2020-03-13,79.48999786376953,79.97000122070312,70.0,79.97000122070312,34289940
2020-03-16,68.4000015258789,73.69999694824219,68.33999633789062,69.01000213623047,31237700
2020-03-17,71.0,74.5,68.11000061035156,71.0,25633030
2020-03-18,65.01000213623047,68.0,60.880001068115234,66.80000305175781,37160660
2020-03-19,65.0,67.54000091552734,59.099998474121094,62.900001525878906,28313550
2020-03-20,64.7699966430664,69.75,63.56999969482422,68.56999969482422,28912530
2020-03-23,61.13999938964844,66.30000305175781,59.90999984741211,65.3499984741211,25349860
2020-03-24,67.4000015258789,68.9800033569336,65.94999694824219,66.0199966430664,17055640
2020-03-25,71.7300033569336,73.9800033569336,66.08999633789062,67.88999938964844,25556950
2020-03-26,74.56999969482422,75.95999908447266,71.76000213623047,71.76000213623047,27526870
2020-03-27,70.22000122070312,73.04000091552734,70.22000122070312,71.1500015258789,15518420
2020-03-30,71.97000122070312,72.4800033569336,70.54000091552734,71.0199966430664,8998080
2020-03-31,69.3499984741211,72.76000213623047,69.3499984741211,71.51000213623047,14177570
2020-04-01,68.18000030517578,68.9800033569336,67.01000213623047,67.7699966430664,14579010
2020-04-02,69.62999725341797,71.30000305175781,68.4800033569336,69.33000183105469,11801180
2020-04-03,66.9000015258789,69.87000274658203,65.30000305175781,69.87000274658203,16872000
2020-04-06,71.56999969482422,72.55000305175781,70.01000213623047,70.79000091552734,13834440
2020-04-07,73.51000213623047,77.0,73.51000213623047,76.47000122070312,14291910
2020-04-08,75.7300033569336,76.2300033569336,73.31999969482422,73.70999908447266,11585850
2020-04-09,74.87000274658203,77.51000213623047,74.58999633789062,76.27999877929688,19179430
2020-04-13,75.95999908447266,75.95999908447266,73.55000305175781,74.5199966430664,13037200
2020-04-14,76.8499984741211,78.73999786376953,76.8499984741211,77.44999694824219,10698170
2020-04-15,76.05000305175781,77.08999633789062,74.69999694824219,75.19999694824219,11223580
2020-04-16,74.93000030517578,77.2300033569336,74.5999984741211,76.94000244140625,11462550
2020-04-17,76.0,76.93000030517578,74.8499984741211,76.45999908447266,7119750
2020-04-20,75.66000366210938,77.23999786376953,74.12000274658203,74.16000366210938,9135960
2020-04-22,77.69999694824219,78.25,75.98999786376953,76.0,11503000
2020-04-23,76.6500015258789,78.7300033569336,75.6500015258789,78.36000061035156,12990450
2020-04-24,72.41000366210938,75.5,69.0999984741211,75.4000015258789,45849230
2020-04-27,75.29000091552734,75.80000305175781,73.5,74.27999877929688,30097830
2020-04-28,78.30000305175781,78.48999786376953,77.12999725341797,77.70999908447266,12579600
2020-04-29,80.18000030517578,80.55000305175781,79.04000091552734,79.69000244140625,12813290
2020-04-30,77.20999908447266,79.05000305175781,77.20999908447266,78.58000183105469,12515780
2020-05-04,76.0999984741211,76.30000305175781,74.7699966430664,75.16999816894531,10111650
2020-05-05,76.54000091552734,78.13999938964844,76.19999694824219,77.0,11236200
2020-05-06,76.19999694824219,77.05999755859375,75.1500015258789,76.81999969482422,6296420
2020-05-07,75.4000015258789,77.20999908447266,75.16999816894531,77.08000183105469,12412860
2020-05-08,77.43000030517578,77.58000183105469,76.5,76.94000244140625,10911150
2020-05-11,76.13999938964844,77.79000091552734,76.02999877929688,76.69999694824219,13427870
2020-05-12,75.0,77.37999725341797,75.0,76.77999877929688,14461750
2020-05-13,75.1500015258789,76.12999725341797,74.30000305175781,75.69000244140625,15018840
2020-05-14,76.25,76.25,72.8499984741211,74.23999786376953,17683140
2020-05-15,74.55999755859375,76.66000366210938,74.4800033569336,75.69999694824219,13103190
2020-05-18,78.02999877929688,78.48999786376953,76.91000366210938,77.23999786376953,14219290
2020-05-19,77.6500015258789,79.18000030517578,77.62000274658203,78.33999633789062,14897670
2020-05-20,78.44999694824219,79.2699966430664,77.8499984741211,78.30999755859375,13551380
2020-05-21,79.97000122070312,80.30000305175781,78.45999908447266,78.58999633789062,12578810
2020-05-22,79.94000244140625,79.94000244140625,78.61000061035156,78.9800033569336,13108470
2020-05-25,82.5999984741211,82.7300033569336,81.62999725341797,81.69999694824219,13440220
2020-05-26,82.44999694824219,84.13999938964844,82.19000244140625,83.9800033569336,14439170
2020-05-27,84.68000030517578,85.0,82.70999908447266,83.44000244140625,9844800
2020-05-28,83.6500015258789,84.86000061035156,83.47000122070312,84.2300033569336,12827420
2020-05-29,84.1500015258789,84.18000030517578,82.1500015258789,83.58999633789062,12938580
2020-06-01,85.33000183105469,85.73999786376953,83.4800033569336,83.5999984741211,7400780
2020-06-02,87.77999877929688,87.77999877929688,85.98999786376953,86.0,10279210
2020-06-03,89.37000274658203,90.27999877929688,88.87000274658203,89.19999694824219,13177990
2020-06-04,90.30999755859375,90.69999694824219,88.8499984741211,89.06999969482422,11939330
2020-06-05,91.05000305175781,93.76000213623047,91.05000305175781,93.06999969482422,15475370
2020-06-08,93.94999694824219,94.12000274658203,92.0999984741211,92.47000122070312,12583470
2020-06-09,92.94999694824219,93.76000213623047,91.93000030517578,92.38999938964844,14753040
2020-06-10,91.16999816894531,94.12000274658203,91.05000305175781,93.94999694824219,16071080
2020-06-12,89.25,89.9000015258789,87.37000274658203,88.5199966430664,15668630
2020-06-15,89.06999969482422,89.73999786376953,86.70999908447266,87.25,18428930
2020-06-16,90.0,91.69000244140625,89.37000274658203,91.4000015258789,12224860
2020-06-17,91.94999694824219,93.0,90.0,90.54000091552734,10722010
2020-06-18,92.62999725341797,93.58000183105469,91.1500015258789,91.23999786376953,9706410
2020-06-19,92.63999938964844,94.0,92.29000091552734,93.80000305175781,12980500
2020-06-22,91.75,93.30000305175781,91.33000183105469,93.22000122070312,8425380
2020-06-23,92.26000213623047,93.80999755859375,92.13999938964844,93.0999984741211,8226990
2020-06-24,90.7699966430664,92.37000274658203,89.76000213623047,92.05000305175781,9841040
2020-06-25,92.38999938964844,92.75,90.61000061035156,90.79000091552734,8739510
2020-06-26,90.22000122070312,92.44000244140625,90.0199966430664,91.87000274658203,7314530
2020-06-29,92.30000305175781,92.30000305175781,90.3499984741211,91.1500015258789,8913140
2020-06-30,91.62000274658203,92.73999786376953,91.26000213623047,91.77999877929688,8834100
2020-07-01,92.68000030517578,93.3499984741211,91.87999725341797,91.87999725341797,7999480
2020-07-02,92.5,94.41999816894531,92.5,93.80000305175781,7040720
2020-07-03,93.19000244140625,93.20999908447266,92.29000091552734,92.44000244140625,6147190
2020-07-06,95.30999755859375,95.62000274658203,94.51000213623047,94.7699966430664,7592660
2020-07-07,94.0999984741211,95.30000305175781,93.6500015258789,94.91000366210938,8578060
2020-07-08,96.0999984741211,96.30000305175781,94.80999755859375,94.94000244140625,7350220
2020-07-09,95.41000366210938,96.45999908447266,95.18000030517578,96.27999877929688,8092520
2020-07-10,96.33999633789062,96.41999816894531,95.0,95.44999694824219,8967590
2020-07-13,95.05000305175781,97.1500015258789,95.05000305175781,96.88999938964844,7746240
2020-07-14,96.5999984741211,96.87000274658203,94.62000274658203,95.0999984741211,9503620
2020-07-15,98.02999877929688,98.33999633789062,96.93000030517578,97.69999694824219,13982380
2020-07-16,96.81999969482422,97.80000305175781,96.45999908447266,97.55000305175781,6110460
2020-07-17,99.12999725341797,99.25,97.41999816894531,97.41999816894531,5621400
2020-07-20,100.5,100.5999984741211,98.87999725341797,99.12000274658203,8563550
2020-07-21,100.29000091552734,101.36000061035156,99.8499984741211,101.2300033569336,5261760
2020-07-22,100.37999725341797,101.1500015258789,99.38999938964844,100.56999969482422,6524500
2020-07-23,98.4000015258789,101.05999755859375,98.2699966430664,100.37999725341797,7849280
2020-07-24,98.58999633789062,98.93000030517578,97.08999633789062,98.30000305175781,9457090
2020-07-27,100.45999908447266,100.7300033569336,98.8499984741211,98.93000030517578,7766510
