Date,CDI,CDI_Acumulado,CDI_Indice,Open,High,Low,Close,Volume
2020-03-10,0.016137,1.00016137,100.0,100.0,100.0,100.0,100.0,0
2020-03-11,0.016137,1.000322766040277,100.016137,100.016137,100.016137,100.016137,100.016137,0
2020-03-12,0.016137,1.0004841881250328,100.03227660402769,100.03227660402769,100.03227660402769,100.03227660402769,100.03227660402769,0
2020-03-13,0.016137,1.0006456362584706,100.04841881250329,100.04841881250329,100.04841881250329,100.04841881250329,100.04841881250329,0
2020-03-16,0.016137,1.0008071104447938,100.06456362584706,100.06456362584706,100.06456362584706,100.06456362584706,100.06456362584706,0
2020-03-17,0.016137,1.0009686106882063,100.08071104447937,100.08071104447937,100.08071104447937,100.08071104447937,100.08071104447937,0
2020-03-18,0.016137,1.001130136992913,100.09686106882063,100.09686106882063,100.09686106882063,100.09686106882063,100.09686106882063,0
2020-03-19,0.014227,1.0012725677775032,100.1111018492449,100.1111018492449,100.1111018492449,100.1111018492449,100.1111018492449,0
2020-03-20,0.014227,1.001415018825721,100.12534465570499,100.12534465570499,100.12534465570499,100.12534465570499,100.12534465570499,0
2020-03-23,0.014227,1.0015574901404494,100.13958948848918,100.13958948848918,100.13958948848918,100.13958948848918,100.13958948848918,0
2020-03-24,0.014227,1.0016999817245718,100.1538363478857,100.1538363478857,100.1538363478857,100.1538363478857,100.1538363478857,0
2020-03-25,0.014227,1.0018424935809718,100.16808523418293,100.16808523418293,100.16808523418293,100.16808523418293,100.16808523418293,0
2020-03-26,0.014227,1.0019850257125336,100.1823361476692,100.1823361476692,100.1823361476692,100.1823361476692,100.1823361476692,0
2020-03-27,0.014227,1.0021275781221417,100.19658908863293,100.19658908863293,100.19658908863293,100.19658908863293,100.19658908863293,0
2020-03-30,0.014227,1.0022701508126812,100.21084405736258,100.21084405736258,100.21084405736258,100.21084405736258,100.21084405736258,0
2020-03-31,0.014227,1.0024127437870374,100.22510105414662,100.22510105414662,100.22510105414662,100.22510105414662,100.22510105414662,0
2020-04-01,0.014227,1.002555357048096,100.23936007927361,100.23936007927361,100.23936007927361,100.23936007927361,100.23936007927361,0
2020-04-02,0.014227,1.0026979905987432,100.25362113303208,100.25362113303208,100.25362113303208,100.25362113303208,100.25362113303208,0
2020-04-03,0.014227,1.0028406444418656,100.26788421571067,100.26788421571067,100.26788421571067,100.26788421571067,100.26788421571067,0
2020-04-06,0.014227,1.0029833185803503,100.28214932759802,100.28214932759802,100.28214932759802,100.28214932759802,100.28214932759802,0
2020-04-07,0.014227,1.0031260130170847,100.29641646898287,100.29641646898287,100.29641646898287,100.29641646898287,100.29641646898287,0
2020-04-08,0.014227,1.0032687277549566,100.3106856401539,100.3106856401539,100.3106856401539,100.3106856401539,100.3106856401539,0
2020-04-09,0.014227,1.0034114627968542,100.32495684139992,100.32495684139992,100.32495684139992,100.32495684139992,100.32495684139992,0
2020-04-13,0.014227,1.0035542181456663,100.33923007300973,100.33923007300973,100.33923007300973,100.33923007300973,100.33923007300973,0
2020-04-14,0.014227,1.003696993804282,100.35350533527223,100.35350533527223,100.35350533527223,100.35350533527223,100.35350533527223,0
2020-04-15,0.014227,1.0038397897755904,100.36778262847628,100.36778262847628,100.36778262847628,100.36778262847628,100.36778262847628,0
2020-04-16,0.014227,1.0039826060624817,100.38206195291082,100.38206195291082,100.38206195291082,100.38206195291082,100.38206195291082,0
2020-04-17,0.014227,1.004125442667846,100.39634330886484,100.39634330886484,100.39634330886484,100.39634330886484,100.39634330886484,0
2020-04-20,0.014227,1.0042682995945744,100.41062669662739,100.41062669662739,100.41062669662739,100.41062669662739,100.41062669662739,0
2020-04-22,0.014227,1.0044111768455577,100.42491211648752,100.42491211648752,100.42491211648752,100.42491211648752,100.42491211648752,0
2020-04-23,0.014227,1.0045540744236876,100.43919956873435,100.43919956873435,100.43919956873435,100.43919956873435,100.43919956873435,0
2020-04-24,0.014227,1.0046969923318558,100.45348905365698,100.45348905365698,100.45348905365698,100.45348905365698,100.45348905365698,0
2020-04-27,0.014227,1.004839930572955,100.46778057154467,100.46778057154467,100.46778057154467,100.46778057154467,100.46778057154467,0
2020-04-28,0.014227,1.0049828891498775,100.48207412268657,100.48207412268657,100.48207412268657,100.48207412268657,100.48207412268657,0
2020-04-29,0.014227,1.0051258680655168,100.496369707372,100.496369707372,100.496369707372,100.496369707372,100.496369707372,0
2020-04-30,0.014227,1.0052688673227665,100.51066732589027,100.51066732589027,100.51066732589027,100.51066732589027,100.51066732589027,0
2020-05-04,0.014227,1.0054118869245205,100.52496697853073,100.52496697853073,100.52496697853073,100.52496697853073,100.52496697853073,0
2020-05-05,0.014227,1.0055549268736732,100.53926866558275,100.53926866558275,100.53926866558275,100.53926866558275,100.53926866558275,0
2020-05-06,0.014227,1.0056979871731195,100.5535723873358,100.5535723873358,100.5535723873358,100.5535723873358,100.5535723873358,0
2020-05-07,0.011345,1.0058120836097644,100.56498019012314,100.56498019012314,100.56498019012314,100.56498019012314,100.56498019012314,0
2020-05-08,0.011345,1.0059261929906498,100.5763892871257,100.5763892871257,100.5763892871257,100.5763892871257,100.5763892871257,0
2020-05-11,0.011345,1.0060403153172446,100.58779967849034,100.58779967849034,100.58779967849034,100.58779967849034,100.58779967849034,0
2020-05-12,0.011345,1.0061544505910174,100.59921136436387,100.59921136436387,100.59921136436387,100.59921136436387,100.59921136436387,0
2020-05-13,0.011345,1.006268598813437,100.61062434489317,100.61062434489317,100.61062434489317,100.61062434489317,100.61062434489317,0
2020-05-14,0.011345,1.0063827599859723,100.62203862022507,100.62203862022507,100.62203862022507,100.62203862022507,100.62203862022507,0
2020-05-15,0.011345,1.0064969341100927,100.63345419050653,100.63345419050653,100.63345419050653,100.63345419050653,100.63345419050653,0
2020-05-18,0.011345,1.0066111211872675,100.64487105588444,100.64487105588444,100.64487105588444,100.64487105588444,100.64487105588444,0
2020-05-19,0.011345,1.0067253212189662,100.65628921650575,100.65628921650575,100.65628921650575,100.65628921650575,100.65628921650575,0
2020-05-20,0.011345,1.0068395342066585,100.66770867251735,100.66770867251735,100.66770867251735,100.66770867251735,100.66770867251735,0
2020-05-21,0.011345,1.0069537601518141,100.67912942406625,100.67912942406625,100.67912942406625,100.67912942406625,100.67912942406625,0
2020-05-22,0.011345,1.0070679990559033,100.6905514712994,100.6905514712994,100.6905514712994,100.6905514712994,100.6905514712994,0
2020-05-25,0.011345,1.007182250920396,100.70197481436381,100.70197481436381,100.70197481436381,100.70197481436381,100.70197481436381,0
2020-05-26,0.011345,1.0072965157467628,100.71339945340647,100.71339945340647,100.71339945340647,100.71339945340647,100.71339945340647,0
2020-05-27,0.011345,1.0074107935364742,100.72482538857446,100.72482538857446,100.72482538857446,100.72482538857446,100.72482538857446,0
2020-05-28,0.011345,1.0075250842910008,100.7362526200148,100.7362526200148,100.7362526200148,100.7362526200148,100.7362526200148,0
2020-05-29,0.011345,1.0076393880118135,100.74768114787452,100.74768114787452,100.74768114787452,100.74768114787452,100.74768114787452,0
2020-06-01,0.011345,1.0077537047003835,100.75911097230075,100.75911097230075,100.75911097230075,100.75911097230075,100.75911097230075,0
2020-06-02,0.011345,1.0078680343581816,100.77054209344054,100.77054209344054,100.77054209344054,100.77054209344054,100.77054209344054,0
2020-06-03,0.011345,1.0079823769866796,100.78197451144104,100.78197451144104,100.78197451144104,100.78197451144104,100.78197451144104,0
2020-06-04,0.011345,1.0080967325873487,100.79340822644936,100.79340822644936,100.79340822644936,100.79340822644936,100.79340822644936,0
2020-06-05,0.011345,1.0082111011616606,100.80484323861263,100.80484323861263,100.80484323861263,100.80484323861263,100.80484323861263,0
2020-06-08,0.011345,1.0083254827110872,100.81627954807803,100.81627954807803,100.81627954807803,100.81627954807803,100.81627954807803,0
